gamma,crater_fraction,rms_slope_deg,chi2
0.0,0.96,48.01298525656109,22575050.58991769
0.0,0.97,48.26240504015252,22282745.850600436
0.0,0.98,48.51054243432789,21992349.905882817
0.0,0.99,48.75741701819031,21703862.756480508
0.0,1.0,49.00304787764431,21417284.40311685
10.0,0.0,0.0,50478546.22841049
10.0,0.01,4.900304787764432,50046602.80028521
10.0,0.02,6.930077490618269,49616516.55707007
10.0,0.03,8.487576864981019,49188287.49904543
10.0,0.04,9.800609575528863,48761915.62649464
10.0,0.05,10.957414615908949,48337400.939704105
10.0,0.06,12.003246314140272,47914743.4389633
10.0,0.07,12.964987816843836,47493943.12456481
10.0,0.08,13.860154981236539,47074999.99680436
10.0,0.09,14.700914363293293,46657914.055980854
10.0,0.1,15.496124358363613,46242685.30239642
10.0,0.11,16.252472339396768,45829313.73635644
10.0,0.12,16.975153729962038,45417799.35816961
10.0,0.13,17.66830017768634,45008142.16814792
10.0,0.14,18.335261606582495,44600342.16660677
10.0,0.15,18.978798834352112,44194399.35386494
10.0,0.16,19.601219151057727,43790313.730244674
10.0,0.17,20.204474237672684,43388085.29607173
10.0,0.18,20.79023247185481,42987714.05167536
10.0,0.19,21.359933362413685,42589199.9973884
10.0,0.2,21.914829231817897,42192543.13354732
10.0,0.21,22.456017618285017,41797743.46049222
10.0,0.22,22.984466804468497,41404800.97856696
10.0,0.23,23.501036175000905,41013715.68811906
10.0,0.24,24.006492628280544,40624487.5894999
10.0,0.25,24.501523938822157,40237116.68306464
10.0,0.26,24.986749735362988,39851602.96917238
10.0,0.27,25.46273059494306,39467946.4481861
10.0,0.28,25.929975633687672,39086147.12047277
10.0,0.29,26.38894888730173,38706204.98640338
10.0,0.3,26.840074709091443,38328120.04635298
10.0,0.31,27.283742364320137,37951892.300700754
10.0,0.32,27.720309962473078,37577521.74983002
10.0,0.33,28.150107840443013,37205008.39412837
10.0,0.34,28.57344148753451,36834352.233987585
10.0,0.35,28.990594085919405,36465553.269803815
10.0,0.36,29.401828726586587,36098611.5019776
10.0,0.37,29.80739035005445,35733526.930913836
10.0,0.38,30.207507452510978,35370299.55702194
10.0,0.39,30.602393591130962,35008929.380715854
10.0,0.4,30.992248716727225,34649416.402414106
10.0,0.41,31.377260357342664,34291760.62253985
10.0,0.42,31.75760467266784,33935962.04152093
10.0,0.43,32.13344739610802,33582020.65978998
10.0,0.44,32.504944678793535,33229936.477784425
10.0,0.45,32.87224384772684,32879709.49594654
10.0,0.46,33.23548408850701,32531339.714723557
10.0,0.47,33.59479706160449,32184827.134567693
10.0,0.48,33.950307459924076,31840171.7559362
10.0,0.49,34.30213351435102,31497373.579291467
10.0,0.5,34.650387453091355,31156432.605101034
10.0,0.51,34.995175919865545,30817348.833837695
10.0,0.52,35.33660035537268,30480122.265979543
10.0,0.53,35.67475734589251,30144752.902010046
10.0,0.54,36.00973894242082,29811240.74241809
10.0,0.55,36.34163295332621,29479585.78769808
10.0,0.56,36.67052321316499,29149788.038349994
10.0,0.57,36.996489829986025,28821847.494879432
10.0,0.58,37.3196094131925,28495764.157797713
10.0,0.59,37.639955283796944,28171538.02762194
10.0,0.6,37.957597668704224,27849169.104875073
10.0,0.61,38.27260388048098,27528657.390085977
10.0,0.62,38.58503848391491,27210002.883789532
10.0,0.63,38.894963450531506,26893205.586526696
10.0,0.64,39.20243830211545,26578265.498844568
10.0,0.65,39.50752024417827,26265182.62129648
10.0,0.66,39.810264290219706,25953956.954442076
10.0,0.67,40.11072337754743,25644588.498847373
10.0,0.68,40.40894847534537,25337077.25508486
10.0,0.69,40.70498868561572,25031423.22373358
10.0,0.7,40.998891337560465,24727626.405379206
10.0,0.71,41.290702075916286,24425686.800614107
10.0,0.72,41.58046494370962,24125604.410037473
10.0,0.73,41.86822245985673,23827379.234255373
10.0,0.74,42.15401569199592,23531011.273880854
